target,text,text_stem,text_lem,glove_cnn_label,glove_lstm_nn_label
0,ot quot final day forever quot oh spending indoors,ot quot final day forev quot oh spend indoor,ot quot final day forever quot oh spending indoors,0.08758988,0.27290455
1,nice weekend lovely boys love much sweet kisses brazil,nice weekend love boy love much sweet kiss brazil,nice weekend lovely boy love much sweet kiss brazil,0.65159005,0.95406
0,beer unfortunately kinds bottle,beer unfortun kind bottl,beer unfortunately kind bottle,0.44244236,0.29706472
1,anything bothering look smiling please smile back,anyth bother look smile pleas smile back,anything bothering look smiling please smile back,0.76409394,0.95006627
0,thinking seems plain make suppose haha time go thurs,think colour seem plain make suppos haha time go thur,thinking colour seems plain make suppose haha time go thurs,0.44815853,0.69402355
1,aw slept till clock xd ia still tired gt chatting friends,aw slept till clock xd ia still tire gt chat friend,aw slept till clock xd ia still tired gt chatting friend,0.9999968,0.59780425
0,man raining normally thats good thing love wanted go park kid cant go maybe something,man rain normal that good thing love want go park kid cant go mayb someth,man raining normally thats good thing love wanted go park kid cant go maybe something,0.0034956213,0.099539846
1,heyy heyy ya doin,heyi heyi ya doin,heyy heyy ya doin,0.91175675,0.8282148
0,omg miley would,omg miley would,omg miley would,0.3562112,0.35534397
1,hate,electron hate,hate,0.124827564,0.06293698
1,great day hope day awesome fun even ur working still try fun deserve,great day hope day awesom fun even ur work still tri fun deserv,great day hope day awesome fun even ur working still try fun deserve,0.88385224,0.7979174
1,lol even respond comment like different guess,lol even respond comment like differ generat guess,lol even respond comment like different generation guess,0.4797589,0.65938896
0,concerned bruised monica helping hair difficult today afraid shows,concern bruis monica help brush hair difficult today afraid show,concerned bruised monica helping hair difficult today afraid show,0.9471422,0.033798963
0,yeah check daily sucks really wanna see,yeah check daili suck realli wanna see,yeah check daily suck really wanna see,0.19793303,0.25158182
0,love episode friends quot go quot hahaha show lt,love episod friend quot go quot hahaha show lt,love episode friend quot go quot hahaha miss show lt,0.8693894,0.87747633
1,like life,like life,like life,0.6653037,0.6783308
1,awesome tony tiger weekend,awesom toni tiger weekend,awesome tony tiger weekend,0.9573665,0.93306524
0,called animal control came dog gone fish still,call anim control came dog gone fish still,called animal control came dog gone fish still,0.021940915,0.102956764
0,version linux drivers epic fail almost makes man want use windows,version linux driver epic fail almost make man want use window,version linux driver epic fail almost make man want use window,0.038203344,0.21680169
1,lol hope soooo,lol hope soooo,lol hope soooo,0.87448424,0.7920854
1,meet time long amp big bags,meet time long necklac amp big bag,meet time long necklace amp big bag,0.42722276,0.67573917
0,time stop editing proper work,time stop edit proper work,time stop editing proper work,0.5401622,0.12039191
1,made movie guy never found prize course send night train,made movi guy never found prize cours send night train,made movie guy never found prize course send night train,0.67517287,0.7613191
0,bored arm full,bore arm full stitch,bored arm full stitch,0.1703587,0.061545867
1,glorious,glorious,glorious,0.78183275,0.9585104
0,back office long weekend texas sometimes feel like need vacation vacation,back offic long weekend texa sometim feel like need vacat vacat,back office long weekend texas sometimes feel like need vacation vacation,0.19687468,0.26789835
1,miss,miss,miss,0.06592389,0.06566225
0,sandwich usually cost alone think whole life changed took turn towards,sandwich usual cost alon think whole life chang took turn toward,sandwich usually cost alone think whole life changed took turn towards,0.6890806,0.46030453
1,make new video,make new video,make new video,0.76483154,0.8609702
1,quot quot,quot quot,quot quot,0.7619311,0.7606303
1,im like sea,im like sea,im like sea,0.75207335,0.4790711
0,sd bad ill library studying weekend,sd bad ill librari studi weekend,sd bad ill library studying weekend,0.0005836895,0.20128313
1,aww hun makeup collection vid got removed grrr im glad enjoyed true beauty vid,aww hun makeup collect vid got remov grrr im glad enjoy true beauti vid gir mwah,aww hun makeup collection vid got removed grrr im glad enjoyed true beauty vid mwah,0.9981851,0.54864097
0,want legend xbox,want legend xbox,want legend xbox,0.24882624,0.13379802
0,still get air france sure tragic keep praying may found,still get air franc sure tragic keep pray may survivor found,still get air france sure tragic keep praying may survivor found,0.006163209,0.16736439
0,love tons old bands mate got see live wanted go,love ton old band mate got see live want go,love ton old band mate got see live wanted go,0.2648315,0.27629262
1,live,live,live,0.60230935,0.60756713
1,watching secret life,watch secret life,watching secret life,0.8137583,0.91721576
0,yea amp fell back asleep,yea amp fell back asleep,yea amp fell back asleep,0.17263322,0.1311637
0,still miss,still miss,still miss,0.027293997,0.052152652
0,awe thanks still big drive though deliver,awe thank still aw big drive though deliv camper,awe thanks still big drive though deliver camper,0.19596493,0.27624166
1,favorite quote great minds,favorit quot great mind,favorite quote great mind,0.9754857,0.96591616
1,luv chatting chatting chatting lol start cant stop,luv chat chat chat lol start cant stop,luv chatting chatting chatting lol start cant stop,0.93627405,0.56868017
1,people gonna learn lakers best,peopl gonna learn laker best,people gonna learn lakers best,0.44661376,0.9005472
0,relaxing home hectic day,relax home hectic day,relaxing home hectic day,0.4055183,0.80495477
1,jersey,jersey,jersey,0.5203549,0.5434356
0,good luck hun thinking ya things,good luck hun think ya thing,good luck hun thinking ya thing,0.8602306,0.9248908
0,dont feel pretty arent,dont feel pretti bang arent cooper,dont feel pretty bang arent,0.00600433,0.032381598
1,better people rude,better peopl rude,better people rude,0.2302443,0.37179115
0,miss ok sure funny watchin movie wit amp,miss ok sure funni watchin movi wit amp,miss ok sure funny watchin movie wit amp,0.09614479,0.6183284
1,oooh sounds like fun way spend time,oooh sound like fun way spend time,oooh sound like fun way spend time,0.7315592,0.7638828
1,pages high much se traffic maybe something,page achiev high rank generat much se traffic mayb someth rank,page high much se traffic maybe something,0.2666731,0.5144226
0,sorry get ur hopes already planned,sorri get ur hope alreadi costum plan,sorry get ur hope already costume planned,0.18421982,0.17311712
0,please gig soon believe long waited would make year see live,pleas gig soon believ long wait would make year see live,please gig soon believe long waited would make year see live,0.035566114,0.32230285
0,time come,time come,time come,0.60230935,0.56925774
0,cause keen idea yesterday holla,caus keen idea yesterday holla,cause keen idea yesterday holla,0.9874226,0.50465626
0,idk bored hope aint bored tomorrow,idk bore hope aint bore tomorrow,idk bored hope aint bored tomorrow,0.008740768,0.15702182
1,always keeps always love knows,alway keep alway love know,always keep always love know,0.7721547,0.81784135
0,want round ear lovely old people,want clip round ear love old peopl,want round ear lovely old people,0.71877563,0.35555798
0,early considering nothing today blame stupid ear,earli consid noth today blame stupid ear,early considering nothing today blame stupid ear,0.21636346,0.09889746
0,already feel pain,alreadi feel pain,already feel pain,0.020769296,0.022634985
0,stupid truck drivers almost got car accident,stupid truck driver almost got car accid,stupid truck driver almost got car accident,0.004243396,0.01088833
0,hey ultimate cry song kisses makes miss dad live gt,hey ultim cri song butterfli kiss make miss dad live gt,hey ultimate cry song butterfly kiss make miss dad live gt,0.051175077,0.04038646
1,going read words rock,go read word rock,going read word rock,0.5342874,0.8669167
0,miss spain us game well still like minutes left,miss spain us game well still like minut left,miss spain game well still like minute left,0.024899203,0.20747137
0,good morning everyone looks like long day ahead looking good already late,good morn everyon look like long day ahead look good alreadi late,good morning everyone look like long day ahead looking good already late,0.61187786,0.41683453
1,wrap exams finish holiday need time relax pool,wrap exam finish holiday need time relax pool,wrap exam finish holiday need time relax pool,0.8832166,0.6724347
1,many lessons learned today lots fun got home,mani lesson learn today seminar lot fun got home,many lesson learned today lot fun got home,0.76934445,0.7638632
0,oh recently released want one haha yea super fine,oh recent releas want one haha yea super fine,oh recently released want one haha yea super fine,0.91886187,0.8841366
0,wtf going omg,wtf go omg,wtf going omg,0.013510778,0.10495393
0,poor little ds rocky reality died today sad,poor littl ds hamster rocki rockstar realiti hamster die today sad,poor little hamster rocky reality hamster died today sad,3.4410828e-08,0.0020244014
1,good home favourite dream fly,good home favourit dream fli,good home favourite dream fly,0.5268488,0.8554128
0,wishing things could stay normal days us,wish thing could stay normal day us,wishing thing could stay normal day,0.2435909,0.08272973
0,seriously hurt ughhhh,serious hurt ughhhh,seriously hurt ughhhh,0.07054404,0.029245121
0,thinking selling,think sell,thinking selling,0.37703168,0.5577584
1,best shoot lovely sunday,best shoot love sunday,best shoot lovely sunday,0.96868974,0.9482879
1,st clue pm online location mins,st clue pm onlin locat min,st clue pm online location min,0.009335044,0.2909773
1,glad got put smile face today,glad got put smile face today,glad got put smile face today,0.9524039,0.9884254
0,money would,money would,money would,0.5250045,0.34918028
1,give warm milk night see morning,give warm milk night see morn,give warm milk night see morning,0.5835957,0.88521296
0,awww boo busy working dat stuff hectic day got tweet,awww boo busi work dat stuff hectic day got tweet,awww boo busy working dat stuff hectic day got tweet,0.013900613,0.06786156
0,waiting fix busted,wait fix bust,waiting fix busted,0.07413868,0.1675417
1,take care hair soft shiny,take care hair soft shini,take care hair soft shiny,0.26545605,0.78287756
0,thinks funny remember things,think funni rememb thing,think funny remember thing,0.9020483,0.84020925
1,right amp know ol skool going break lol,right amp know ol skool go break sweater lol,right amp know ol skool going break sweater lol,0.7904726,0.6527158
1,went meet rob beer,went bump meet rob beer,went meet rob beer,0.10731803,0.79967636
1,running sunshine may well return,run sunshin may well return,running sunshine may well return,0.6355213,0.71669626
0,hopes jonathan gets soon buy iphone already,hope jonathan visa get approv soon buy iphon alreadi,hope jonathan visa get approved soon buy iphone already,0.22776389,0.36942586
0,mondays kill gotta get nd private practice tonight,monday kill gotta get grey nd privat practic tonight,monday kill gotta get grey nd private practice tonight,0.32702523,0.13014641
1,cute sent dm,cute sent dm,cute sent dm,0.9866899,0.91816795
0,attempting go sleep hell evening,attempt go sleep hell even,attempting go sleep hell evening,0.31933424,0.243822
1,going movies later brother birthday,go movi later brother birthday,going movie later brother birthday,0.9959133,0.92644405
1,work two days,work two day,work two day,0.39264172,0.27029437
1,got back home working gym pizza,got back home work gym pizza,got back home working gym pizza,0.87036043,0.859651
1,yes one haha find many practice tho,yes one haha find mani practic tho,yes one haha find many practice tho,0.051712524,0.42023954
0,yeah pushing daisies amazing show one,yeah push daisi amaz show one favorit,yeah pushing daisy amazing show one,0.13376255,0.7354931
1,hi find twitter goes leave hour try wait see new picture,hi find twitter goe leav hour tri wait see new pictur,hi find twitter go leave hour try wait see new picture,0.61754435,0.88552886
1,like collection range runs away,like collect rang express run away,like collection range run away,0.8885937,0.27135518
0,going gosh need working right good look,go gosh need work right good look,going gosh need working right good look,0.40053645,0.5796091
1,food,cook food,cook food,0.60230935,0.43082035
0,bed sleep something missing,bed sleep someth miss,bed sleep something missing,0.031601895,0.033461686
1,lmao yea luck yet,lmao yea luck yet,lmao yea luck yet,0.18560037,0.41740915
0,reason watch hills hopefully leaving show better bigger things love,reason watch hill hope leav show better bigger thing love lc,reason watch hill hopefully leaving show better bigger thing love,0.61085653,0.67585725
1,evening tweeps shops muffin break free wifi going ps good time went,even tweep shop muffin break free wifi go ps good time went,evening tweeps shop muffin break free wifi going good time went,0.9945963,0.534204
1,driving without license course good girl,drive without licens cours good girl,driving without license course good girl,0.8813983,0.7599068
0,wit dude sitting traffic rain shit cool,wit dude sit traffic rain shit cool,wit dude sitting traffic rain shit cool,0.62796646,0.28650957
1,called day,call day,called day,0.66163,0.52666825
1,dane cook hilarious,dane cook hilari,dane cook hilarious,0.86503947,0.9568185
0,sadly gained pounds back need start drinking water asap,sad gain pound back need start diet drink water asap,sadly gained pound back need start drinking water asap,0.0015871057,0.061398078
1,thanks one hit since,thank one hit sinc,thanks one hit since,0.71568024,0.771659
1,welcome know im awesome lol,welcom know im awesom lol,welcome know im awesome lol,0.903049,0.95812124
1,two,pour two,two,0.6725591,0.6131958
1,loving fire lot ever since first heard months ago,love fire lot ever sinc first heard month ago,loving fire lot ever since first heard month ago,0.59887177,0.6849836
1,finishing work starting weekend nice long afternoon nap,finish work start weekend nice long afternoon nap,finishing work starting weekend nice long afternoon nap,0.7299658,0.6555543
1,good day hiking early ahh,good day hike earli ahh,good day hiking early ahh,0.8716236,0.9332663
1,hello anything deal,hello anyth deal,hello anything deal,0.779234,0.85763687
1,ah ok probs dude,ah ok prob dude,ah ok probs dude,0.8562388,0.6352844
0,feeling better head still hurting much surgery looking next,feel better head still hurt much surgeri look next,feeling better head still hurting much surgery looking next,0.0031637677,0.13910379
0,going school take exam dont think ill good mean,go school take exam dont think ill good mean,going school take exam dont think ill good mean,0.7776078,0.25824523
1,go hehehe,go heheh,go hehehe,0.60230935,0.58876586
0,laura bad bad bad also took pot pics,laura bad bad bad also took pot pic,laura bad bad bad also took pot pic,0.58454996,0.31355804
1,thank,thank kind christina,thank,0.9876918,0.97294194
0,omg day ima call vet,omg day ima call vet,omg day ima call vet,0.015599288,0.10023382
0,wants partying revising,want parti revis,want partying revising,0.0016996055,0.050729793
1,good eve june first day classes btw sorry late reply saw msg time,good eve june first day class btw sorri late repli saw msg time,good eve june first day class btw sorry late reply saw msg time,0.8610285,0.6359854
0,ahhh downloading says gonna take minutes,ahhh download say gonna take minut,ahhh downloading say gonna take minute,0.6264008,0.46922955
1,missed show hear received pie wine peeps kind hope enjoyed know,miss show hear receiv pie wine peep kind hope enjoy know,missed show hear received pie wine peep kind hope enjoyed know,0.72017765,0.55215967
0,really bad thought looked funny,realli bad thought look funni,really bad thought looked funny,0.5743379,0.40082568
1,glad good spirit,glad good spirit,glad good spirit,0.99208474,0.9815121
0,diversity amazing sad susan boyle win sure bgt,divers amaz sad susan boyl win sure bgt,diversity amazing sad susan boyle win sure bgt,0.0058846828,0.5049981
0,thanks mama miss sooo much,thank mama miss sooo much,thanks mama miss sooo much,0.0850591,0.38337967
1,usa world cup tied,usa world cup qualifi tie,usa world cup tied,0.4289647,0.54895216
1,okay totally going live bad,okay total go live bad,okay totally going live bad,0.3099304,0.5113537
0,hero come back main ha hope pass,hero come back main ha hope pass,hero come back main ha hope pas,0.94312954,0.9050875
1,thanks man blessed,thank man bless,thanks man blessed,0.98901623,0.98880553
1,yeah,yeah,yeah,0.6694553,0.57651585
0,want back oc,want back oc,want back oc,0.06397558,0.078644656
0,yet trying though,yet tri though,yet trying though,0.18417218,0.28769565
0,cute think make sadly,cute think make sad,cute think make sadly,0.02332298,0.14604735
0,heart breaking little monkey,heart break littl monkey,heart breaking little monkey,0.4390379,0.22465344
0,days like wanna stay cuddle gotta bring ass work disappointed,day like wanna stay cuddl gotta bring ass work disappoint,day like wanna stay cuddle gotta bring as work disappointed,0.0023836019,0.032954074
0,giving away magic friday lucky play good luck,give away magic friday lucki aloud play good luck,giving away magic friday lucky play good luck,0.8615812,0.7453692
1,beer,beer,beer,0.7774656,0.82954955
0,unfortunately yeah might try sit park lunch min,unfortun yeah might tri sit park lunch min,unfortunately yeah might try sit park lunch min,0.78299546,0.40071186
1,going mall get seeing quot quot group pretty fun night,go mall get see quot quot group pretti fun night,going mall get seeing quot quot group pretty fun night,0.92990994,0.98171383
0,missed metro crash cannot believe happened,miss metro crash cannot believ happen,missed metro crash cannot believe happened,0.019097408,0.03807089
0,miss del last thing go timing,heehe miss del mar last minut thing go time,miss del mar last thing go timing,0.107739925,0.13309027
0,time work goes phone,time work goe phone,time work go phone,0.31946948,0.0783359
0,wait see tomorrow na,wait see tomorrow na,wait see tomorrow na,0.76760924,0.9047929
0,never ever ever duck orange,never ever ever duck orang,never ever ever duck orange,0.6307632,0.56551784
0,lot rubbish chance one well hardly anyone,lot rubbish chanc one bite well hard anyon,lot rubbish chance one well hardly anyone,0.047331758,0.1409575
0,sounds great love see quot quot best matt,sound great camera love see quot quot best matt,sound great camera love see quot quot best matt,0.90680665,0.98280174
0,wishing still,wish still,wishing still,0.028922386,0.055595763
0,lol hey much bored,lol hey much bore,lol hey much bored,0.19869302,0.39830726
1,one got phone told tell ur pass thanks,one got phone told tell ur pass thank,one got phone told tell ur pas thanks,0.89576745,0.9642167
1,hi today really fine see next xoxo,hi today realli fine see next xoxo,hi today really fine see next xoxo,0.94817257,0.9719144
1,good morning afternoon,good morn afternoon,good morning afternoon,0.8920853,0.9613125
1,woot wait get game movie,woot wait get game movi,woot wait get game movie,0.7402445,0.96563107
1,let give jimmy quot peanut quot one way ticket iran,let give jimmi quot peanut quot one way ticket iran,let give jimmy quot peanut quot one way ticket iran,0.0017315987,0.15204395
0,omg woke hahahaha die time hr,omg woke hahahaha die time hr,omg woke hahahaha die time hr,0.08168275,0.1417302
1,information bout tonite yet,inform bout tonit yet,information bout tonite yet,0.0015594949,0.25013313
0,getting ready lights tired pain,get readi light tire pain,getting ready light tired pain,0.033626154,0.033669014
0,tv usually music channels hearing songs hear made one time scream,tv usual music channel downsid hear song hear made one time scream,tv usually music channel downside hearing song hear made one time scream,0.5050174,0.678993
0,kids really drive nuts sometimes always end yelling even though trying calm quiet push buttons,kid realli drive nut sometim alway end yell even though tri calm quiet push button,kid really drive nut sometimes always end yelling even though trying calm quiet push button,0.0074191988,0.35765952
1,sister holding thanks prayers keep coming,sister hold thank prayer keep come,sister holding thanks prayer keep coming,0.89728856,0.92212987
0,oh dear sorry laughed,oh dear sorri laugh,oh dear sorry laughed,0.17663752,0.13038369
0,miss,miss,miss,0.06592389,0.06566225
1,james launch performance dinner drinks social happily,jame launch rocket perform dinner drink social circl happili,james launch rocket performance dinner drink social circle happily,0.99947184,0.95946324
0,hoping doesnt get tonight scary porch,hope doesnt get kidnap tonight scari nois porch,hoping doesnt get tonight scary noise porch,0.0064089634,0.060576692
1,like mike game plan pass ball lebron times dont certainly win haha go cavs,plot like mike game plan pass ball lebron time dont certain win haha go cav,like mike game plan pas ball lebron time dont certainly win haha go cavs,0.85557896,0.5657953
1,sooo pumped go sky,sooo pump go sky dive,sooo pumped go sky,0.50466627,0.6052832
1,lol really good show hooked luv,lol realli good show hook luv,lol really good show hooked luv,0.9516623,0.9454184
0,need quiet place broken inside need help,need quiet place broken insid need help,need quiet place broken inside need help,0.03371647,0.1111632
1,took new pics decided make video,took new pic decid make video,took new pic decided make video,0.46378314,0.83737904
1,going go laundry back later still phone though sent phone,go go fold laundri back later still phone though communic sent phone,going go laundry back later still phone though sent phone,0.0070639225,0.05799549
0,sony press conference kinda disappointing year,soni press confer kinda disappoint year,sony press conference kinda disappointing year,0.28505117,0.03086303
1,makes heart smile real big,make heart smile real big,make heart smile real big,0.8972015,0.9626279
1,meant dm made laugh dm personal,meant dm made laugh dm person,meant dm made laugh dm personal,0.5269951,0.91253465
0,wanted tell sell tickets im really sorry im gonna soooooo upset im sorry bug dc,want tell sell ticket im realli sorri im gonna soooooo upset im sorri bug dc,wanted tell sell ticket im really sorry im gonna soooooo upset im sorry bug dc,1.598196e-05,0.025111964
1,tonight good old night boo okay link next tweet xx,tonight good old night boo okay link next tweet xx,tonight good old night boo okay link next tweet xx,0.90695137,0.6926386
0,bored great day rather party right sitting alone,bore great day rather parti right sit alon,bored great day rather party right sitting alone,0.27219912,0.17119195
1,going better least writing something,go better least write someth,going better least writing something,0.6555464,0.73473257
0,wishes spending mother day family,wish spend mother day famili,wish spending mother day family,0.7787927,0.17686826
1,taking classes online web design,take class onlin web design,taking class online web design,0.8168917,0.8478922
0,yeah ice cream makes fat,yeah ice cream make fat,yeah ice cream make fat,0.38818717,0.4963341
0,missing pre event prep,miss pre event prep,missing pre event prep,0.003406612,0.08088433
1,sister,sister,sister,0.73419327,0.6887436
0,seen already wait till july st fair,seen alreadi wait till juli st fair,seen already wait till july st fair,0.055949435,0.19695903
1,welcome new followers,welcom new follow,welcome new follower,0.9975413,0.9895085
0,wish coulda,wish coulda,wish coulda,0.000237419,0.044562165
1,saw last night blown away show amazing well worth year wait love,saw last night blown away show amaz well worth year wait love,saw last night blown away show amazing well worth year wait love,0.6508485,0.87738264
1,super mario bit amazing really great job graphics,super mario bit amaz realli great job graphic,super mario bit amazing really great job graphic,0.94143504,0.92440015
0,dad threw away mirror apparently find funny,dad threw away sticker mirror appar find funni,dad threw away sticker mirror apparently find funny,0.0021847663,0.13423488
0,drunk bad later love ya girl,drunk bad later love ya girl,drunk bad later love ya girl,0.9306898,0.8072948
0,keep forgetting fabulous mug full coffee sitting beside tetris keeps,keep forget fabul mug full coffe sit besid tetri keep distract,keep forgetting fabulous mug full coffee sitting beside tetri keep,0.3562522,0.89634377
1,great meeting coffee well maybe next time meet,great meet coffe well mayb next time meet pint,great meeting coffee well maybe next time meet pint,0.9090602,0.9320568
0,noooo sundays gone,noooo sunday gone,noooo sunday gone,0.04604986,0.030829731
